Name,Age,Gender,Admission Test Score,High School Percentage,City,Admission Status
Kamran,19.0,Male,70.3,60.04,Quetta,Accepted
Rukhsana,18.0,Female,47.9,87.9,Quetta,Rejected
Nashit,20.0,Female,65.2,99.0,Lahore,Accepted
Sherzod,19.0,Male,,99.0,Rawalpindi,Accepted
Imran,21.0,Male,47.1,68.29,Karachi,Rejected
Naeem,25.0,Male,71.9,62.73,Multan,Rejected
Hulkar,17.0,Female,73.1,69.6,Peshawar,Accepted
Sadia,18.0,Female,88.4,99.0,Rawalpindi,Accepted
Feruza,18.0,Female,95.7,92.77,Lahore,Accepted
Nilufar,19.0,,88.5,48.2,Lahore,Rejected
Umida,19.0,Female,67.3,80.18,Lahore,Rejected
Jasur,21.0,Male,65.7,58.95,Rawalpindi,Rejected
Asad,22.0,Male,56.5,81.18,Lahore,Rejected
Javlon,23.0,Male,69.1,68.2,,Rejected
Taimur,22.0,Male,89.6,74.17,Multan,Accepted
Nisha,21.0,Female,100.0,85.09,Karachi,
Adnan,20.0,Male,83.4,61.86,Karachi,Accepted
,19.0,Male,89.2,71.41,Rawalpindi,Accepted
Ibrohim,19.0,Male,77.5,76.76,Islamabad,Accepted
Kamola,19.0,Female,91.5,76.06,Multan,Accepted
Muazzam,21.0,Female,83.5,98.71,Lahore,Accepted
Danyal,22.0,Male,74.9,72.68,Quetta,Rejected
Sarvarbek,18.0,Male,82.8,45.25,Rawalpindi,Accepted
Saim,20.0,Male,55.2,70.2,Karachi,Rejected
Hulkar,16.0,Female,72.1,,Peshawar,Accepted
Muzammil,24.0,Male,92.8,81.24,Multan,Accepted
Zulfiya,19.0,Female,100.0,92.2,Karachi,Accepted
Hulkar,19.0,Female,63.9,44.31,Multan,Rejected
  Dilnoza,21.0,Female,64.1,,Peshawar,Rejected
Sarvarbek,16.0,Male,69.4,67.48,Quetta,Rejected
Muslimbek,,Male,62.7,70.87,Quetta,Rejected
Barno,19.0,Female,100.0,73.09,Quetta,Accepted
Kashif,18.0,Male,90.4,80.2,Lahore,Accepted
Haris,19.0,Male,88.0,51.22,Rawalpindi,Accepted
Mavluda,18.0,Female,91.1,,Rawalpindi,Accepted
Shahnoza,21.0,Female,73.4,78.87,Multan,Rejected
Mahnoor,20.0,Female,63.6,70.09,Karachi,Rejected
Javlon,20.0,Male,60.4,99.0,Islamabad,Rejected
Farrukh,20.0,Male,63.7,54.46,Lahore,Rejected
Mansur,20.0,Male,84.3,67.51,Peshawar,Rejected
Shoira,24.0,Female,57.8,76.8,Multan,Rejected
Nashit,16.0,Female,96.2,76.57,Peshawar,Accepted
Sarvarbek,18.0,Male,82.0,99.0,Multan,Accepted
Dilovar,21.0,Male,87.6,,,Rejected
Muslimbek,18.0,Male,85.7,76.43,Lahore,Accepted
Kamran,23.0,Male,69.8,126.48,Multan,Accepted
Behruz,18.0,Male,86.9,71.11,Islamabad,Accepted
Ahmed,21.5,Male,62.7,52.37,MULTAN,Rejected
Nasir,20.0,Male,70.1,59.23,Peshawar,Rejected
Sidra,20.0,Female,93.3,48.22,Islamabad,Rejected
Sitora,18.0,Female,94.9,79.18,Islamabad,Accepted
Talha,20.0,Male,63.2,88.18,Peshawar,Rejected
Waqar,99.0,Male,91.2,68.12,Multan,Accepted
Muazzam,18.0,Female,82.0,42.8,Islamabad,Rejected
Nadia,22.0,,78.0,75.81,Multan,Rejected
Raza,19.0,Male,84.8,71.05,Islamabad,Accepted
Amna,19.0,Female,99.6,103.31,Karachi,Accepted
Mansur,21.0,Male,91.4,79.94,Quetta,Accepted
Tariq,20.0,Male,66.4,91.14,Multan,Accepted
Shazia,22.0,Female,55.5,-16.47,Peshawar,
Talha,22.0,Male,73.0,87.68,Peshawar,Accepted
Nashit,20.0,Female,67.2,88.07,Peshawar,Rejected
Malika,17.0,Female,45.1,47.04,Peshawar,Rejected
Zainab,16.0,Female,64.5,77.97,Karachi,Rejected
Nashit,17.0,Female,91.6,55.5,Peshawar,Accepted
,19.0,Male,73.6,75.92,Peshawar,Rejected
Aisha,19.0,Female,84.8,69.07,Peshawar,Accepted
Junaid,22.0,Male,79.0,81.35,Peshawar,Accepted
Mohira,20.0,Female,53.2,96.91,Lahore,Rejected
Dilnoza,21.0,Female,,62.04,Lahore,Rejected
Adnan,20.0,Male,100.0,59.58,Rawalpindi,Accepted
Rohail,20.4,Male,69.5,99.0,Islamabad,Accepted
Sarvarbek,16.0,Male,53.9,60.71,Quetta,Rejected
Imran,21.0,Male,66.9,99.0,Islamabad,Accepted
Noor,20.0,Female,81.1,77.97,Rawalpindi,Accepted
Naeem,16.0,Male,95.6,52.75,Karachi,Accepted
Hulkar,22.0,Female,89.1,85.58,Peshawar,Accepted
Omer,22.0,Male,100.0,44.51,Multan,Accepted
Danyal,21.0,Male,70.5,80.94,Rawalpindi,Accepted
Laziz,20.0,Male,74.2,78.58,Rawalpindi,Accepted
Muzammil,20.0,Male,89.8,60.75,Islamabad,Accepted
Usman,21.0,Male,63.8,96.72,Multan,Accepted
Malika,23.0,Female,84.0,40.0,Lahore,Rejected
Sitora,22.0,Female,86.1,95.27,Peshawar,Accepted
Tahir,20.0,Male,86.2,,Lahore,Accepted
Mirzo,22.0,Male,,72.98,,Rejected
Ibrohim,22.0,Male,85.7,94.61,Multan,Accepted
Hafsa,18.0,,100.0,90.0,Karachi,Accepted
Feruza,16.0,Female,72.7,67.96,Karachi,Rejected
Javed,21.0,Male,,85.57,Islamabad,Accepted
Mahnoor,20.0,Female,80.7,94.92,Rawalpindi,Accepted
Shafiq,17.0,Male,79.0,79.79,Multan,Accepted
Barno,21.0,Female,92.1,81.62,Karachi,Accepted
Naeem,20.0,Male,57.5,99.0,Peshawar,Rejected
Usman,20.0,Male,84.7,74.95,Islamabad,Accepted
Rehan,20.0,Male,100.0,,Islamabad,Accepted
Fahad,NULL,Male,NULL,99.0,Peshawar,Accepted
Kiran,23.0,Female,100.0,67.99,Quetta,Accepted
Omer,19.0,Male,92.1,60.41,Multan,Accepted
Asilbek,22.0,,95.1,75.95,Rawalpindi,Accepted
Mavluda,35.0,Female,111.0,99.0,Karachi,Rejected
Mehwish,19.0,Female,100.0,75.56,Quetta,Accepted
Tahir,23.0,Male,52.2,83.27,Multan,Rejected
Nodir,21.0,Male,89.5,65.27,Islamabad,Accepted
Farzana,24.0,,75.7,40.03,Rawalpindi,Rejected
Murtaza,17.0,Male,96.0,58.02,Quetta,Accepted
Muazzam,20.0,Female,83.6,74.86,Islamabad,Accepted
Malika,21.0,Female,82.4,99.0,Multan,Accepted
Talha,19.0,Male,89.4,62.42,Islamabad,Accepted
Otabek,24.0,Male,,87.62,Quetta,Accepted
Murtaza,20.1,Male,100.0,87.54,Rawalpindi,Accepted
Arslan,21.0,Male,56.6,97.39,Multan,Rejected
Bekzod,18.0,Male,63.1,62.75,Karachi,Rejected
Sadia,22.0,Female,73.0,61.14,Rawalpindi,Rejected
Kamola,21.0,Female,64.1,85.1,Peshawar,Rejected
Samina,16.0,Female,87.8,67.85,Karachi,Accepted
Nisha,19.0,Female,72.2,82.49,Multan,Accepted
Muniba,19.0,Female,73.1,85.87,Rawalpindi,Accepted
Rukhsana,22.0,Female,77.6,72.22,Lahore,Accepted
Sajid,,Male,46.5,72.95,,Rejected
Moiz,20.0,FEMALE,-7.0,,Multan,Rejected
Sarvarbek,22.0,Male,79.8,65.64,Peshawar,Rejected
Sidra,,Female,75.2,74.93,Quetta,Accepted
Sobia,21.0,Female,48.4,47.45,Lahore,Rejected
Shamsiddin,21.0,Male,38.0,71.49,Peshawar,reject
Lola,21.0,Female,83.0,85.59,Lahore,Accepted
Danyal,27.0,Male,63.4,,,Rejected
Fatima,20.0,Female,80.7,87.48,Lahore,Accepted
Shehroz,22.0,Male,94.9,85.35,Karachi,Accepted
Kashif,20.0,Male,73.7,92.44,Quetta,Accepted
Mavluda,22.0,Female,76.7,50.64,Quetta,Rejected
Junaid,18.0,Male,57.3,85.45,Karachi,Rejected
Shazia,23.0,Female,84.9,77.8,Rawalpindi,Accepted
Shahnoza,21.0,Female,94.9,99.0,Rawalpindi,Accepted
Hulkar,21.0,Female,83.1,65.62,Peshawar,Accepted
Bilal,19.0,,82.8,57.35,Rawalpindi,Rejected
Otabek,19.0,Male,69.5,64.26,Lahore,Rejected
Hina,16.0,Female,42.1,59.44,Rawalpindi,Rejected
Saima,22.9,Female,72.9,76.29,Multan,Rejected
