"Name","Age","Gender","Admission Test Score","High School Percentage","City","Admission Status"
"Umar","22.00","Male","150.00","","","Rejected"
"","20.00","Female","86.00","89.06","Karachi","Accepted"
"Rehan","22.00","Male","51.00","67.03","Lahore","Rejected"
"Farzana","22.00","","82.00","78.30","Multan","Accepted"
"Nida","","","84.00","91.92","Quetta","Rejected"
"Muneera","19.00","Female","-28.00","67.75","Karachi","Rejected"
"Rohail","20.00","Female","72.00","66.83","Multan","Rejected"
"Shehroz","23.00","Female","82.00","83.86","Karachi","Rejected"
"Imran","19.00","Female","90.40","64.88","Multan","Accepted"
"Farhan","22.00","Female","65.00","76.72","Multan","Rejected"
"Shehroz","24.00","Male","72.00","90.05","Karachi","Accepted"
"Asma","22.00","Female","81.00","68.86","Islamabad","Accepted"
"Tariq","19.00","Female","96.00","40.70","Rawalpindi","Rejected"
"Sara","22.00","","95.00","60.33","Islamabad","Rejected"
"Junaid","17.00","Male","56.00","93.36","Karachi","Rejected"
"Mehwish","23.40","Female","91.00","57.33","Rawalpindi",""
"Zunaira","20.00","Female","98.00","","Quetta","Accepted"
"Hania","24.00","Female","83.00","97.93","Quetta","Rejected"
"Mehwish","18.00","Female","72.00","67.51","","Accepted"
"Hamza","22.00","Male","99.00","86.58","Multan","Accepted"
"Adeel","24.00","Male","71.00","74.65","Lahore","Accepted"
"Tariq","17.00","Female","95.70","67.09","Peshawar","Accepted"
"Zunaira","-1.00","Female","84.00","58.77","Quetta","Rejected"
"Qasim","17.00","","92.00","51.96","Lahore","Accepted"
"Maham","23.00","Male","94.00","","Karachi","Rejected"
"Aqsa","23.00","Female","","86.50","","Accepted"
"Daniyal","24.00","Female","77.00","67.32","","Rejected"
"Lubna","22.00","Male","74.00","90.56","Rawalpindi","Accepted"
"Junaid","23.00","Female","94.00","61.93","Peshawar","Accepted"
"Ayesha","24.00","Male","94.00","98.43","Multan","Rejected"
"Muneera","23.00","Male","77.00","57.93","Karachi","Rejected"
"Tuba","17.00","Female","75.00","78.43","Peshawar","Accepted"
"Bushra","18.00","Female","93.00","99.80","Islamabad","Rejected"
"Hania","","Female","129.00","71.78","","Accepted"
"Hania","18.00","Female","","61.83","","Accepted"
"Feroze","17.00","Male","91.00","71.17","Karachi","Rejected"
"Hassan","24.00","","79.00","","Karachi","Accepted"
"Zunaira","19.00","Female","75.00","66.26","Peshawar","Rejected"
"Aliya","19.00","Male","69.20","91.85","Islamabad","Rejected"
"Asad","20.00","Female","49.20","","Peshawar","Rejected"
"Shafiq","","Male","65.80","82.49","Quetta","Rejected"
"Maaz","20.00","Male","58.00","96.83","Peshawar",""
"Ali","","Male","71.00","80.91","Lahore","Rejected"
"Shahzad","24.00","Female","74.00","74.13","Multan","Rejected"
"Hafsa","","Male","55.00","97.46","Quetta","Rejected"
"Asad","","Female","82.00","67.42","Lahore","Accepted"
"Asad","21.00","Male","","97.21","Karachi","Rejected"
"Qasim","23.00","Female","83.00","73.68","Quetta","Accepted"
"Shehroz","19.00","Male","","56.43","Rawalpindi",""
"Feroze","23.00","Female","51.00","92.36","Rawalpindi","Accepted"
"Laiba","21.00","Female","76.00","","Karachi","Rejected"
"Sana","22.00","Female","91.00","84.08","Quetta","Rejected"
"Zarina","19.00","Female","","71.72","Quetta","Rejected"
"Sana","21.00","Female","53.00","","Rawalpindi","Rejected"
"","23.00","Female","93.00","","Karachi","Accepted"
"Nimra","17.00","Female","68.00","61.66","","Rejected"
"Hammad","24.00","Female","71.00","83.84","Lahore","Accepted"
"","24.00","Female","50.00","87.00","Peshawar","Accepted"
"","21.00","","86.00","95.38","Quetta","Accepted"
"","","Male","89.00","84.64","Lahore","Accepted"
"Asad","20.00","Female","114.00","52.40","Rawalpindi","Rejected"
"Ali","19.00","Female","85.00","78.09","Quetta","Accepted"
"Bilal","17.50","Female","81.00","84.40","Islamabad","Rejected"
"Fatima","21.00","Female","98.00","","Multan","Accepted"
"Shoaib","-1.00","Male","91.00","80.12","Quetta","Accepted"
"Maaz","17.00","Male","88.00","86.85","Lahore","Accepted"
"Shamsiddin","22.00","Male","68.30","57.37","Rawalpindi","accept"
"Faisal","54.00","MALE","154.00","84.47","Quetta","Accepted"
"Gulnora","21.00","Female","87.50","73.48","Karachi","Accepted"
"Kamola","16.00","Female","51.90","63.95","Quetta","Rejected"
"Dilnoza","20.00","Female","83.80","62.41","Multan","Accepted"
"Danyal","20.00","Male","73.30","73.11","Lahore","Rejected"
"Muazzam","17.00","Female","-50.00","58.29","Rawalpindi","Rejected"
"Saima","20.80","Female","83.80","87.20","Lahore","Accepted"
"Sardor","21.00","Male","78.10","71.30","Karachi","Rejected"
"Shazia","21.00","Female","50.90","79.21","Quetta","Rejected"
"Abbos","19.00","Male","80.00","85.78","Quetta","Accepted"
"Sardor","19.00","Male","61.70","47.88","Peshawar","Rejected"
"Sherzod","24.00","Male","65.90","73.72","Quetta","Rejected"
"Babar","23.00","Male","100.00","40.00","Islamabad","Accepted"
"Shahnoza","21.00","Female","74.90","40.00","Lahore","Rejected"
"Eldor","18.00","Male","94.50","53.78","Rawalpindi","Accepted"
"Shahid","23.00","Male","83.20","84.16","Karachi","Accepted"
"Ozoda","16.00","Female","87.60","70.96","Islamabad","Accepted"
"Hafsa","20.00","Female","99.10","67.07","Lahore","Accepted"
"Tariq","19.00","Male","91.50","74.48","Lahore","Accepted"
"Shoira","18.00","Female","64.30","98.48","Quetta","Accepted"
"Aliya","23.00","Female","62.90","63.96","Quetta","Rejected"
"Nasir","21.00","Male","100.00","85.45","Lahore","Accepted"
"Mehwish","20.00","Female","67.10","99.00","Multan","Accepted"
"Rabia","20.00","Female","100.00","74.20","Multan","Accepted"
"Nadia","19.00","Female","78.50","59.03","Peshawar","Rejected"
"Omer","20.00","Male","89.20","91.48","Quetta","Accepted"
"Sana","19.00","Female","73.70","83.91","Islamabad","Accepted"
"Mansur","16.00","Male","64.90","131.99","Quetta","Rejected"
"Muzammil","19.50","","77.50","79.40","Lahore","Accepted"
"Sherzod","","Male","72.20","74.04","Rawalpindi","Accepted"
"Zunaira","21.00","Female","96.10","88.85","Karachi","Accepted"
"Gulnora","18.00","Female","76.70","99.00","Lahore","Accepted"
"Kashif","21.00","Male","152.00","40.00","Lahore","Accepted"
"Muniba","22.00","Female","","89.64","Lahore","Accepted"
"Rabia","20.00","Female","91.90","87.64","Islamabad","Accepted"
"Nodir","20.00","Male","69.90","82.43","Karachi","accept"
"Malika","22.00","Female","92.60","83.53","Quetta","Accepted"
"Saqib","22.00","Male","83.30","60.19","Islamabad","Accepted"
"Shehroz","18.00","Male","97.80","77.61","Peshawar","Accepted"
"Sanjar","18.00","Male","78.70","61.63","Karachi","Rejected"
"Ibrohim","20.00","Male","71.70","99.00","Islamabad","Accepted"
"Sumera","20.00","Female","98.20","83.90","Islamabad","Accepted"
"Tayyaba","19.00","Female","51.10","79.84","Rawalpindi","Rejected"
"Mahnoor","20.00","Female","58.60","99.00","Karachi","Rejected"
"Abbos","20.00","Male","71.60","68.30","Islamabad","Rejected"
"Danyal","19.00","","69.10","69.45","Islamabad","Rejected"
"Ahmed","21.70","Male","78.40","99.00","Quetta","Accepted"
"Hafsa","16.00","Female","93.30","83.47","Karachi","Accepted"
"","25.00","Female","98.60","70.65","Karachi","Accepted"
"Mirzo","19.00","Male","78.80","73.98","Islamabad","Accepted"
"Saqib","21.00","Male","97.90","63.61","Lahore","Accepted"
"Feruza","16.00","Female","100.00","81.42","Islamabad","Accepted"
"Faisal","19.00","Male","79.70","78.20","Karachi","Accepted"
"Lochinbek","22.00","Male","55.50","52.22","Peshawar","Rejected"
"Iqbol","18.00","Female","81.30","-9.90","Multan","Accepted"
"Javlon","22.10","Male","86.40","81.95","Karachi","Accepted"
"Shoira","21.00","Female","76.60","99.00","Multan","Accepted"
"Eldor","23.00","Male","69.60","71.55","Rawalpindi","Rejected"
"Hamza","19.00","Male","82.40","83.21","Lahore","Accepted"
"Otabek","24.00","Male","","88.32","Lahore","Rejected"
"Mohira","20.00","Female","99.20","88.81","Karachi","Accepted"
"Rukhsana","","Female","55.30","60.37","Lahore","Rejected"
"Sara","23.00","Female","70.00","66.83","Peshawar","Rejected"
"Nodir","16.00","Male","59.60","90.15","Karachi","Accepted"
"Rukhsana","18.00","","60.70","85.58","Rawalpindi","Rejected"
"Hulkar","17.90","Female","68.00","84.37","Karachi","Rejected"
"Rukhsana","0.00","Female","82.90","72.86","Karachi","Accepted"
"","19.70","","82.20","95.59","Islamabad","Accepted"
"Muhabbat","18.00","Female","82.00","74.61","Islamabad","Accepted"
"Kashif","18.00","Male","89.60","99.00","Karachi","Accepted"
"Fareeha","22.00","Female","72.20","87.08","Quetta","Accepted"
"Arslan","18.00","Male","87.40","85.32","Islamabad","Accepted"
"Muzammil","23.00","Male","67.80","53.97","Karachi","Rejected"
"Saima","19.00","Female","74.80","99.00","Islamabad","Accepted"
"Ayesha","17.00","Female","89.20","88.38","Karachi","Accepted"
"Fareeha","23.00","Female","94.00","61.26","Islamabad","Accepted"
"Nimra","20.00","Female","70.80","53.01","Multan","Rejected"
"Muhabbat","18.00","Female","60.20","94.18","Karachi","Accepted"
"Arslan","20.00","Male","50.30","49.33","Quetta","Rejected"
"Javed","22.00","Male","92.30","82.41","Rawalpindi","Accepted"
"Yulduz","22.00","Female","72.60","69.44","Rawalpindi",""
"Amna","18.00","Female","78.80","74.20","Islamabad","Accepted"
"Shafiq","19.00","Male","60.10","81.04","Lahore","Rejected"
"Hafsa","23.00","Female","81.50","64.44","Rawalpindi","Accepted"
"Gulnora","22.00","Female","64.90","87.24","Islamabad","Rejected"
"Waleed","20.00","Male","89.70","75.96","Karachi","Accepted"
"Ahmed","19.00","Male","77.10","58.85","Peshawar","Rejected"
"Nilufar","19.00","Female","61.80","60.45","Peshawar","Rejected"
"Dilnoza","20.00","Female","93.40","49.74","Quetta","Accepted"
"Muzammil","20.00","Male","73.40","76.23","Lahore","Accepted"
"Umida","19.00","Female","65.90","88.65","Quetta","Accepted"
"Sitora","20.00","Female","77.20","94.55","Islamabad","Accepted"
"Hassan","18.00","Male","55.40","94.93","Peshawar","Rejected"
"Zainab","21.00","Female","68.50","82.70","Quetta","Accepted"
"Temur","20.00","Male","76.30","56.74","Peshawar","Rejected"
"Talha","21.00","Male","66.70","99.00","Peshawar","Rejected"
"Kamran","","Male","114.00","85.98","Rawalpindi","Accepted"
"Nasiba","23.00","Female","84.60","78.41","Islamabad","Accepted"
"Shafiq","21.00","Male","78.70","99.00","Karachi","Accepted"
"Gulnora","35.00","Female","92.80","74.27","Multan","Accepted"
"Muslimbek","17.00","Male","78.60","77.19","Quetta","Accepted"
"Malika","","Female","99.30","91.57","Peshawar","Accepted"
"Sumera","","Female","75.00","70.93","Quetta","Rejected"
"Danyal","19.00","Male","93.40","59.48","Karachi","Accepted"
"Asilbek","21.00","Male","76.30","76.78","","Accepted"
"Zainab","20.00","Female","85.20","80.90","Karachi","Accepted"
"Javed","20.00","Male","83.90","93.26","Lahore","Accepted"
"Fahad","17.00","Male","90.00","71.02","Peshawar","Accepted"
"Nodir","23.00","Male","68.10","99.00","Rawalpindi","Accepted"
"Talha","22.00","Male","89.60","46.00","Lahore","Acceptd"
"Javlon","55.00","Male","93.90","99.00","Karachi","Accepted"
"Malika","20.00","Female","59.80","52.62","Quetta","Rejected"
"Ibrohim","21.00","Male","70.40","89.91","Rawalpindi","Accepted"
"Noor","18.00","Female","76.20","72.74","Karachi","Accepted"
"Fatima","18.00","Female","50.40","84.35","Islamabad","Rejected"
"Zara","18.00","","71.50","99.00","Rawalpindi","Accepted"
"Tahir","18.00","Male","80.70","99.00","Islamabad","Accepted"
"Shahid","16.00","Male","75.50","97.61","Lahore","Accepted"
"Nasir","20.00","Male","100.00","61.59","Peshawar","Accepted"
"Ali","21.00","Male","100.00","","Lahore","Accepted"
"Sarvinoz","17.00","Female","99.50","91.01","Karachi","Accepted"
"Rida","23.00","Female","70.40","81.22","Quetta",""
"Bekzod","22.00","Male","117.00","95.37","Multan","Accepted"
"Behruz","16.00","Male","","74.70","Islamabad","Accepted"
"Sarvinoz","20.00","Female","64.10","46.01","Quetta","Rejected"
"Nashit","20.00","Female","59.00","86.97","Karachi","Rejected"
"Nilufar","21.00","Female","68.00","66.11","Multan","Rejected"
"","21.00","Male","53.30","56.84","Multan","Rejected"
"Rohail","21.00","Male","79.50","90.73","Lahore",""
"Iqra","21.00","Female","69.20","81.27","Islamabad","reject"
"Sobia","19.00","Female","73.20","66.80","Multan","Rejected"
"Hassan","18.00","Male","67.10","","Multan","Rejected"
"Amna","18.00","Female","78.30","96.69","Multan","Accepted"
"Aisha","19.00","Female","77.30","88.25","Lahore","Accepted"
"Sanjar","22.00","Male","94.60","92.55","","Accepted"
"Sumera","22.00","Female","95.30","49.38","Karachi","Accepted"
"Ali","18.00","Male","90.30","","Multan","Accepted"
"Nisha","18.00","Female","67.20","67.77","Rawalpindi","Rejected"
"Ayesha","19.00","Female","87.50","98.36","Karachi","Accepted"
"Haris","17.00","Male","77.20","84.05","","Accepted"
"Nashit","19.00","Female","100.00","76.47","","Accepted"
"Sarvarbek","17.00","Male","56.90","83.72","Multan","Rejected"
"","17.00","Male","80.60","69.68","Multan","Rejected"
"Waleed","16.00","Male","30.00","67.95","Quetta","Rejected"
"","21.00","Male","82.50","85.54","Lahore","Accepted"
"Aliya","20.00","Female","96.20","71.74","Lahore","Accepted"
"Javed","22.00","Male","96.70","49.99","Rawalpindi","Accepted"
"Dilovar","17.00","Male","80.60","78.00","Peshawar","Accepted"
"Faisal","17.00","Male","51.40","71.45","Islamabad","Rejected"
"Sidra","19.90","FEMALE","100.00","79.57","Rawalpindi","Accepted"
"Sardor","20.00","Male","77.90","69.27","Islamabad","Accepted"
"Haris","24.00","Male","100.00","76.48","Karachi","Accepted"
"Dilovar","17.00","Male","93.60","46.28","Lahore","Accepted"
"Mehwish","20.00","Female","57.90","","Multan","Rejected"
"Naeem","18.00","Male","93.40","94.37","Multan","Accepted"
"Temur","18.00","Male","96.20","71.93","Quetta","Accepted"
"Sarvarbek","18.00","Male","","81.39","Peshawar","Rejected"
"Amjad","22.00","Male","76.20","59.26","Lahore","Rejected"
"Amjad","19.00","Male","89.50","77.53","Lahore",""
"Muzammil","22.00","Male","52.60","81.88","Rawalpindi","Rejected"
"Nashit","20.00","Female","53.30","49.41","Rawalpindi","Rejected"
"Gulnora","21.00","Female","80.80","77.04","Multan","Accepted"
"Waqar","20.00","Male","47.80","99.00","Islamabad","Rejected"
"Ali","20.00","Male","80.10","69.05","Islamabad","Accepted"
"Shamsiddin","21.00","Male","","59.61","Karachi","Rejected"
"Nargiza","22.00","Female","87.40","66.92","Rawalpindi","Accepted"
"Rukhsana","19.00","Female","73.50","53.34","Peshawar","Rejected"
"Saim","20.00","Male","100.00","80.58","Islamabad","Accepted"
"","19.00","Male","80.60","83.77","Quetta","Accepted"
"Sarvarbek","22.00","Male","85.90","68.79","Karachi","Rejected"
"Irfan","24.00","Male","92.40","99.00","Lahore","Accepted"
"Mohira","18.00","Female","83.50","60.29","Lahore","Accepted"
"Kamran","19.00","Male","70.30","60.04","Quetta","Accepted"
"Rukhsana","18.00","Female","47.90","87.90","Quetta","Rejected"
"Nashit","20.00","Female","65.20","99.00","Lahore","Accepted"
"Sherzod","19.00","Male","","99.00","Rawalpindi","Accepted"
"Imran","21.00","Male","47.10","68.29","Karachi","Rejected"
"Naeem","25.00","Male","71.90","62.73","Multan","Rejected"
"Hulkar","17.00","Female","73.10","69.60","Peshawar","Accepted"
"Sadia","18.00","Female","88.40","99.00","Rawalpindi","Accepted"
"Feruza","18.00","Female","95.70","92.77","Lahore","Accepted"
"Nilufar","19.00","","88.50","48.20","Lahore","Rejected"
"Umida","19.00","Female","67.30","80.18","Lahore","Rejected"
"Jasur","21.00","Male","65.70","58.95","Rawalpindi","Rejected"
"Asad","22.00","Male","56.50","81.18","Lahore","Rejected"
"Javlon","23.00","Male","69.10","68.20","","Rejected"
"Taimur","22.00","Male","89.60","74.17","Multan","Accepted"
"Nisha","21.00","Female","100.00","85.09","Karachi",""
"Adnan","20.00","Male","83.40","61.86","Karachi","Accepted"
"","19.00","Male","89.20","71.41","Rawalpindi","Accepted"
"Ibrohim","19.00","Male","77.50","76.76","Islamabad","Accepted"
"Kamola","19.00","Female","91.50","76.06","Multan","Accepted"
"Muazzam","21.00","Female","83.50","98.71","Lahore","Accepted"
"Danyal","22.00","Male","74.90","72.68","Quetta","Rejected"
"Sarvarbek","18.00","Male","82.80","45.25","Rawalpindi","Accepted"
"Saim","20.00","Male","55.20","70.20","Karachi","Rejected"
"Hulkar","16.00","Female","72.10","","Peshawar","Accepted"
"Muzammil","24.00","Male","92.80","81.24","Multan","Accepted"
"Zulfiya","19.00","Female","100.00","92.20","Karachi","Accepted"
"Hulkar","19.00","Female","63.90","44.31","Multan","Rejected"
"  Dilnoza","21.00","Female","64.10","","Peshawar","Rejected"
"Sarvarbek","16.00","Male","69.40","67.48","Quetta","Rejected"
"Muslimbek","","Male","62.70","70.87","Quetta","Rejected"
"Barno","19.00","Female","100.00","73.09","Quetta","Accepted"
"Kashif","18.00","Male","90.40","80.20","Lahore","Accepted"
"Haris","19.00","Male","88.00","51.22","Rawalpindi","Accepted"
"Mavluda","18.00","Female","91.10","","Rawalpindi","Accepted"
"Shahnoza","21.00","Female","73.40","78.87","Multan","Rejected"
"Mahnoor","20.00","Female","63.60","70.09","Karachi","Rejected"
"Javlon","20.00","Male","60.40","99.00","Islamabad","Rejected"
"Farrukh","20.00","Male","63.70","54.46","Lahore","Rejected"
"Mansur","20.00","Male","84.30","67.51","Peshawar","Rejected"
"Shoira","24.00","Female","57.80","76.80","Multan","Rejected"
"Nashit","16.00","Female","96.20","76.57","Peshawar","Accepted"
"Sarvarbek","18.00","Male","82.00","99.00","Multan","Accepted"
"Dilovar","21.00","Male","87.60","","","Rejected"
"Muslimbek","18.00","Male","85.70","76.43","Lahore","Accepted"
"Kamran","23.00","Male","69.80","126.48","Multan","Accepted"
"Behruz","18.00","Male","86.90","71.11","Islamabad","Accepted"
"Ahmed","21.50","Male","62.70","52.37","MULTAN","Rejected"
"Nasir","20.00","Male","70.10","59.23","Peshawar","Rejected"
"Sidra","20.00","Female","93.30","48.22","Islamabad","Rejected"
"Sitora","18.00","Female","94.90","79.18","Islamabad","Accepted"
"Talha","20.00","Male","63.20","88.18","Peshawar","Rejected"
"Waqar","99.00","Male","91.20","68.12","Multan","Accepted"
"Muazzam","18.00","Female","82.00","42.80","Islamabad","Rejected"
"Nadia","22.00","","78.00","75.81","Multan","Rejected"
"Raza","19.00","Male","84.80","71.05","Islamabad","Accepted"
"Amna","19.00","Female","99.60","103.31","Karachi","Accepted"
"Mansur","21.00","Male","91.40","79.94","Quetta","Accepted"
"Tariq","20.00","Male","66.40","91.14","Multan","Accepted"
"Shazia","22.00","Female","55.50","-16.47","Peshawar",""
"Talha","22.00","Male","73.00","87.68","Peshawar","Accepted"
"Nashit","20.00","Female","67.20","88.07","Peshawar","Rejected"
"Malika","17.00","Female","45.10","47.04","Peshawar","Rejected"
"Zainab","16.00","Female","64.50","77.97","Karachi","Rejected"
"Nashit","17.00","Female","91.60","55.50","Peshawar","Accepted"
"","19.00","Male","73.60","75.92","Peshawar","Rejected"
"Aisha","19.00","Female","84.80","69.07","Peshawar","Accepted"
"Junaid","22.00","Male","79.00","81.35","Peshawar","Accepted"
"Mohira","20.00","Female","53.20","96.91","Lahore","Rejected"
"Dilnoza","21.00","Female","","62.04","Lahore","Rejected"
"Adnan","20.00","Male","100.00","59.58","Rawalpindi","Accepted"
"Rohail","20.40","Male","69.50","99.00","Islamabad","Accepted"
"Sarvarbek","16.00","Male","53.90","60.71","Quetta","Rejected"
"Imran","21.00","Male","66.90","99.00","Islamabad","Accepted"
"Noor","20.00","Female","81.10","77.97","Rawalpindi","Accepted"
"Naeem","16.00","Male","95.60","52.75","Karachi","Accepted"
"Hulkar","22.00","Female","89.10","85.58","Peshawar","Accepted"
"Omer","22.00","Male","100.00","44.51","Multan","Accepted"
"Danyal","21.00","Male","70.50","80.94","Rawalpindi","Accepted"
"Laziz","20.00","Male","74.20","78.58","Rawalpindi","Accepted"
"Muzammil","20.00","Male","89.80","60.75","Islamabad","Accepted"
"Usman","21.00","Male","63.80","96.72","Multan","Accepted"
"Malika","23.00","Female","84.00","40.00","Lahore","Rejected"
"Sitora","22.00","Female","86.10","95.27","Peshawar","Accepted"
"Tahir","20.00","Male","86.20","","Lahore","Accepted"
"Mirzo","22.00","Male","","72.98","","Rejected"
"Ibrohim","22.00","Male","85.70","94.61","Multan","Accepted"
"Hafsa","18.00","","100.00","90.00","Karachi","Accepted"
"Feruza","16.00","Female","72.70","67.96","Karachi","Rejected"
"Javed","21.00","Male","","85.57","Islamabad","Accepted"
"Mahnoor","20.00","Female","80.70","94.92","Rawalpindi","Accepted"
"Shafiq","17.00","Male","79.00","79.79","Multan","Accepted"
"Barno","21.00","Female","92.10","81.62","Karachi","Accepted"
"Naeem","20.00","Male","57.50","99.00","Peshawar","Rejected"
"Usman","20.00","Male","84.70","74.95","Islamabad","Accepted"
"Rehan","20.00","Male","100.00","","Islamabad","Accepted"
"Fahad","","Male","","99.00","Peshawar","Accepted"
"Kiran","23.00","Female","100.00","67.99","Quetta","Accepted"
"Omer","19.00","Male","92.10","60.41","Multan","Accepted"
"Asilbek","22.00","","95.10","75.95","Rawalpindi","Accepted"
"Mavluda","35.00","Female","111.00","99.00","Karachi","Rejected"
"Mehwish","19.00","Female","100.00","75.56","Quetta","Accepted"
"Tahir","23.00","Male","52.20","83.27","Multan","Rejected"
"Nodir","21.00","Male","89.50","65.27","Islamabad","Accepted"
"Farzana","24.00","","75.70","40.03","Rawalpindi","Rejected"
"Murtaza","17.00","Male","96.00","58.02","Quetta","Accepted"
"Muazzam","20.00","Female","83.60","74.86","Islamabad","Accepted"
"Malika","21.00","Female","82.40","99.00","Multan","Accepted"
"Talha","19.00","Male","89.40","62.42","Islamabad","Accepted"
"Otabek","24.00","Male","","87.62","Quetta","Accepted"
